,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2032,0.481,0.124,2,-21.377,1,0.0391,0.927,0.756,0.105,0.218,103.512,audio_features,4gG0X6cfm3Nhlkw3NaL7PC,spotify:track:4gG0X6cfm3Nhlkw3NaL7PC,https://api.spotify.com/v1/tracks/4gG0X6cfm3Nhlkw3NaL7PC,https://api.spotify.com/v1/audio-analysis/4gG0X6cfm3Nhlkw3NaL7PC,282392,4
2033,0.332,0.2,2,-17.698,0,0.0376,0.965,0.918,0.202,0.119,63.369,audio_features,5eWLDX4KoC24EYgrZl8Rta,spotify:track:5eWLDX4KoC24EYgrZl8Rta,https://api.spotify.com/v1/tracks/5eWLDX4KoC24EYgrZl8Rta,https://api.spotify.com/v1/audio-analysis/5eWLDX4KoC24EYgrZl8Rta,144375,4
2034,0.411,0.107,8,-18.661,1,0.0353,0.965,0.769,0.149,0.104,87.565,audio_features,7HFXTKZhD4wsko0rty1WIk,spotify:track:7HFXTKZhD4wsko0rty1WIk,https://api.spotify.com/v1/tracks/7HFXTKZhD4wsko0rty1WIk,https://api.spotify.com/v1/audio-analysis/7HFXTKZhD4wsko0rty1WIk,229756,4
2035,0.565,0.155,4,-16.504,0,0.0364,0.959,0.959,0.13,0.168,106.031,audio_features,0OuZzvIHAKYit34s4NH7WH,spotify:track:0OuZzvIHAKYit34s4NH7WH,https://api.spotify.com/v1/tracks/0OuZzvIHAKYit34s4NH7WH,https://api.spotify.com/v1/audio-analysis/0OuZzvIHAKYit34s4NH7WH,189234,4
2036,0.464,0.119,9,-18.179,0,0.0368,0.887,0.884,0.0964,0.108,99.867,audio_features,3BqL7IYqbFJH4dOVeMB0cA,spotify:track:3BqL7IYqbFJH4dOVeMB0cA,https://api.spotify.com/v1/tracks/3BqL7IYqbFJH4dOVeMB0cA,https://api.spotify.com/v1/audio-analysis/3BqL7IYqbFJH4dOVeMB0cA,212936,4
2037,0.3,0.214,7,-18.318,1,0.0384,0.948,0.894,0.165,0.205,179.678,audio_features,3xhMWYa8ricKp1NN8TVQyS,spotify:track:3xhMWYa8ricKp1NN8TVQyS,https://api.spotify.com/v1/tracks/3xhMWYa8ricKp1NN8TVQyS,https://api.spotify.com/v1/audio-analysis/3xhMWYa8ricKp1NN8TVQyS,167010,3
2038,0.442,0.196,6,-16.846,1,0.034,0.922,0.952,0.166,0.165,100.706,audio_features,2rkMiWiaO1iPWjb5Lko8Lu,spotify:track:2rkMiWiaO1iPWjb5Lko8Lu,https://api.spotify.com/v1/tracks/2rkMiWiaO1iPWjb5Lko8Lu,https://api.spotify.com/v1/audio-analysis/2rkMiWiaO1iPWjb5Lko8Lu,180054,3
2039,0.578,0.19,8,-17.377,1,0.0513,0.959,0.922,0.18,0.14,128.807,audio_features,1sp7bA5S2pxf2mNsVLCjuU,spotify:track:1sp7bA5S2pxf2mNsVLCjuU,https://api.spotify.com/v1/tracks/1sp7bA5S2pxf2mNsVLCjuU,https://api.spotify.com/v1/audio-analysis/1sp7bA5S2pxf2mNsVLCjuU,216625,4
2040,0.259,0.0793,2,-21.244,0,0.0382,0.966,0.908,0.103,0.0768,84.918,audio_features,38YetMSYVQW7jRN1CxaHpA,spotify:track:38YetMSYVQW7jRN1CxaHpA,https://api.spotify.com/v1/tracks/38YetMSYVQW7jRN1CxaHpA,https://api.spotify.com/v1/audio-analysis/38YetMSYVQW7jRN1CxaHpA,158856,4
2041,0.38,0.0953,6,-17.801,1,0.0291,0.97,0.679,0.1,0.0811,85.91,audio_features,628mswwaHdp8bFEKsOCwCa,spotify:track:628mswwaHdp8bFEKsOCwCa,https://api.spotify.com/v1/tracks/628mswwaHdp8bFEKsOCwCa,https://api.spotify.com/v1/audio-analysis/628mswwaHdp8bFEKsOCwCa,278717,4
2042,0.248,0.203,10,-15.087,1,0.0475,0.922,0.942,0.0892,0.103,57.911,audio_features,6pNCr9TVxcgqqYHhhAjnPF,spotify:track:6pNCr9TVxcgqqYHhhAjnPF,https://api.spotify.com/v1/tracks/6pNCr9TVxcgqqYHhhAjnPF,https://api.spotify.com/v1/audio-analysis/6pNCr9TVxcgqqYHhhAjnPF,170872,4
